user_id,anime_id,rating
1,1038,9
1,685,7
1,70,8
1,330,6
1,237,7
1,212,8
1,221,7
1,1375,4
1,286,8
2,41,8
2,40,1
2,69,8
2,957,1
2,304,6
2,410,4
2,256,6
2,431,4
2,1038,1
2,943,2
2,337,7
2,270,6
2,381,4
2,198,6
2,791,4
2,539,5
2,194,6
2,7,9
2,653,5
2,104,7
2,94,7
2,50,7
2,764,2
2,978,2
2,29,8
2,163,7
2,392,7
2,786,6
2,592,5
2,245,6
2,549,6
2,446,2
2,278,5
2,992,5
2,211,6
2,1134,1
2,314,2
2,44,6
2,215,2
2,622,6
2,235,1
2,142,1
2,662,2
2,248,1
2,2,9
2,576,1
2,449,5
2,1171,7
2,3,9
2,385,5
2,27,8
2,204,5
2,16,9
2,237,3
2,530,3
2,20,8
2,1676,6
2,160,2
2,161,1
2,844,4
2,5,10
2,6,8
2,294,3
2,285,2
2,681,4
2,338,5
2,939,1
2,315,2
2,705,1
2,143,8
2,181,1
2,363,3
2,696,3
2,1470,5
2,568,3
2,19,7
2,485,5
2,1481,7
3,40,10
3,311,9
3,28,9
3,268,7
3,866,8
3,1038,7
3,99,9
3,583,8
3,90,7
3,653,8
3,104,7
3,94,8
3,50,7
3,383,7
3,9,9
3,56,9
3,8,9
3,824,8
3,446,7
3,22,8
3,201,9
3,502,4
3,211,9
3,1134,9
3,314,7
3,215,8
3,893,6
3,137,7
3,235,7
3,142,7
3,151,9
3,662,8
3,279,8
3,248,7
3,576,5
3,1171,8
3,837,7
3,135,7
3,214,7
3,663,7
3,203,8
3,237,8
3,883,8
3,254,9
3,160,8
3,161,7
3,461,7
3,294,7
3,68,9
3,628,7
3,285,7
3,681,5
3,939,8
3,283,7
3,315,8
3,1237,6
3,705,7
3,391,8
3,950,9
3,741,5
3,643,8
3,1004,6
3,274,8
3,109,8
3,386,8
3,500,8
3,801,6
3,169,6
3,11,8
3,640,8
3,1207,6
3,145,8
3,464,7
3,1311,5
3,249,8
3,1084,7
4,165,10
4,294,9
5,40,5
5,37,7
5,268,7
5,122,9
5,35,9
5,240,7
5,112,6
5,361,6
5,749,4
5,91,8
5,168,7
5,424,6
5,2,7
5,374,5
5,25,8
5,110,8
5,255,9
5,11,8
6,1038,6
6,67,9
6,9,10
6,51,9
6,8,10
6,228,7
6,238,9
6,81,9
6,222,9
6,2,10
7,128,9
7,269,6
7,44,8
7,215,7
7,142,7
7,662,7
7,2,9
7,135,8
7,462,7
7,165,8
7,27,7
7,204,6
7,499,8
7,212,7
7,294,6
7,134,8
7,363,6
7,696,6
7,487,7
7,221,9
8,41,7
8,40,9
8,28,10
8,37,8
8,69,8
8,88,7
8,302,6
8,99,8
8,1781,1
8,115,8
8,112,7
8,303,5
8,90,7
8,1457,5
8,106,8
8,168,8
8,9,8
8,70,7
8,13,10
8,29,8
8,56,8
8,8,8
8,419,6
8,48,9
8,1782,2
8,446,7
8,22,9
8,201,8
8,85,8
8,502,5
8,15,9
8,211,8
8,44,8
8,137,8
8,39,8
8,330,5
8,12,9
8,49,9
8,234,7
8,222,7
8,151,8
8,248,8
8,2,10
8,1171,3
8,1377,5
8,318,5
8,165,7
8,16,9
8,203,7
8,530,7
8,24,8
8,54,8
8,261,6
8,25,8
8,160,8
8,294,7
8,371,7
8,68,8
8,187,7
8,284,6
8,627,7
8,315,6
8,1237,4
8,1353,5
8,363,5
8,110,8
8,1127,3
8,696,3
8,568,4
8,19,8
8,221,7
8,121,8
8,255,4
8,274,5
8,1191,6
8,1592,4
8,286,6
8,626,6
8,109,6
8,11,9
8,219,6
8,171,5
8,249,8
8,34,8
9,749,9
9,330,8
9,696,10
10,10,10
10,31,9
10,9,8
10,29,9
10,22,8
10,44,7
10,2,10
10,27,8
10,16,9
11,10,9
11,31,9
11,40,10
11,311,9
11,28,10
11,113,8
11,256,7
11,1038,6
11,88,9
11,566,8
11,35,9
11,312,7
11,1236,7
11,9,9
11,70,10
11,56,8
11,8,9
11,22,8
11,201,7
11,330,7
11,1171,5
11,659,8
11,187,10
11,1237,4
11,134,8
11,143,9
11,696,5
11,568,6
11,19,8
11,111,7
12,10,9
12,31,10
12,634,9
12,241,10
12,943,10
12,995,8
12,101,10
12,749,10
12,298,10
12,333,10
12,362,10
12,574,10
12,764,10
12,978,10
12,954,10
12,1200,10
12,245,10
12,215,9
12,235,10
12,142,8
12,135,7
13,40,8
13,88,8
13,56,8
13,319,8
13,22,8
13,201,9
13,211,7
13,622,6
13,662,7
13,663,7
14,9,10
14,8,10
14,1134,4
14,215,6
14,235,6
14,142,6
14,135,8
14,214,8
14,165,10
14,254,8
14,212,8
15,165,10
16,9,9
16,8,9
16,446,8
16,211,8
16,137,8
16,151,8
16,662,8
16,165,9
16,203,9
16,237,7
16,682,7
16,212,8
16,294,9
16,68,9
16,628,9
17,40,9
17,1038,4
17,943,8
17,99,10
17,112,10
17,66,10
17,754,7
17,691,8
17,450,6
17,840,4
17,879,7
17,791,8
17,928,6
17,539,8
17,692,7
17,639,8
17,239,9
17,422,8
17,194,7
17,295,10
17,703,7
17,184,10
17,665,9
17,653,8
17,94,9
17,764,7
17,978,6
17,730,4
17,1326,8
17,1505,7
17,319,7
17,446,2
17,992,7
17,314,3
17,215,7
17,142,7
17,2,10
17,27,10
17,16,10
17,394,2
18,268,7
18,330,7
18,662,7
18,659,8
18,237,9
18,939,6
18,696,7
19,53,9
19,22,8
19,201,8
19,215,6
19,137,7
19,142,6
19,449,7
19,135,6
19,182,7
19,165,8
19,237,7
19,682,7
19,374,7
19,25,7
19,461,7
19,1315,7
19,212,7
19,294,7
19,371,9
19,233,8
20,10,10
20,41,10
20,268,6
20,122,10
20,88,9
20,298,7
21,9,9
21,8,9
22,10,7
22,40,9
22,28,8
22,1038,9
22,22,9
22,330,8
22,394,10
23,965,10
24,90,10
24,446,7
24,502,9
24,314,6
24,12,10
24,248,7
24,165,8
24,160,7
24,161,6
24,294,7
24,628,8
24,363,6
25,40,10
25,28,10
25,69,7
25,164,3
25,1781,1
25,7,7
25,9,10
25,13,10
25,51,9
25,56,6
25,8,10
25,446,3
25,22,7
25,211,10
25,215,4
25,137,10
25,238,8
25,330,9
25,142,4
25,1313,3
25,222,6
25,151,10
25,662,4
25,248,4
25,576,5
25,449,6
25,1171,7
25,135,4
25,165,3
25,203,10
25,772,5
25,237,8
25,530,5
25,25,10
25,160,4
25,1179,4
25,212,8
25,294,5
25,68,10
25,233,7
25,939,3
25,283,6
25,134,7
25,363,6
25,1127,5
25,696,6
25,568,9
25,19,9
25,646,7
25,221,9
25,255,6
25,185,8
25,286,7
25,626,8
25,11,9
25,427,8
25,862,5
25,1259,5
26,28,10
26,1038,7
26,9,10
26,13,10
26,8,10
26,23,10
26,233,10
26,568,8
27,64,10
27,90,10
27,72,9
27,502,10
27,36,9
27,12,10
27,2,10
27,23,9
27,160,9
28,41,9
28,764,9
28,51,8
28,85,9
28,269,8
28,215,6
28,367,8
28,142,6
28,662,9
28,294,10
28,285,9
28,315,10
28,181,8
28,363,8
28,19,9
28,646,8
28,221,7
29,886,8
30,10,10
30,37,8
30,304,8
30,356,8
30,406,8
30,115,6
30,91,7
30,7,9
30,398,8
